binomial,phylum,class,order,family,genus,Common.name,panth_bodymass_g,panth_metrate_g,panth_maxLong_m,panth_Mat_d,aa_femMat_d,aa_maleMat_d,aa_maxLong_y,aa_maxLong_m,aa_metrate_w,aa_bodymass_g,AA_Data.quality,kup_AdultMass,kup_maxLong_m,AT_bodymass_g,AT_metrate,AT_brain_g,mean_long,State,species
Phoenicopterus roseus,Chordata,Aves,Phoenicopteriformes,Phoenicopteridae,Phoenicopterus,Greater flamingo,NA,NA,NA,NA,1825,1825,58.8,705.6,NA,NA,acceptable,2500,528,NA,NA,NA,705.6,NA,Phoenicopterus_roseus
Phoenicurus ochruros,Chordata,Aves,Passeriformes,Muscicapidae,Phoenicurus,Black redstart,NA,NA,NA,NA,365,365,10.2,122.4,NA,NA,acceptable,16.5,122.4,NA,NA,NA,122.4,NA,Phoenicurus_ochruros
Phoenicurus phoenicurus,Chordata,Aves,Passeriformes,Muscicapidae,Phoenicurus,Common redstart,NA,NA,NA,NA,365,365,10.2,122.4,NA,NA,acceptable,14.6,122.4,NA,NA,NA,122.4,DIU,Phoenicurus_phoenicurus
Pholis gunnellus,Chordata,Actinopterygii,Perciformes,Pholidae,Pholis,Rock gunnel,NA,NA,NA,NA,NA,NA,5,60,NA,NA,acceptable,NA,60,NA,NA,NA,60,NA,Pholis_gunnellus
Phoxinus phoxinus,Chordata,Teleostei,Cypriniformes,Leuciscidae,Phoxinus,Minnow,NA,NA,NA,NA,1277,1277,13,156,NA,NA,acceptable,NA,156,NA,NA,NA,156,NA,Phoxinus_phoxinus
Phrynomantis bifasciatus,Chordata,Amphibia,Anura,Microhylidae,Phrynomantis,Red-banded frog,NA,NA,NA,NA,NA,NA,10.3,123.6,NA,NA,acceptable,NA,123.6,NA,NA,NA,123.6,NOC,Phrynomantis_bifasciatus
Phrynops geoffroanus,Chordata,Reptilia,Testudines,Chelidae,Phrynops,Geoffrey's sideneck turtle,NA,NA,NA,NA,NA,NA,37.5,450,NA,NA,acceptable,NA,450,NA,NA,NA,450,NA,Phrynops_geoffroanus
Phrynops hilarii,Chordata,Reptilia,Testudines,Chelidae,Phrynops,Hilaire's side-necked turtle,NA,NA,NA,NA,NA,NA,37.4,448.8,NA,NA,acceptable,2380,448.8,NA,NA,NA,448.8,NA,Phrynops_hilarii
Phycis blennoides,Chordata,Teleostei,Gadiformes,Gadidae,Phycis,Greater forkbeard,NA,NA,NA,NA,NA,NA,20,240,NA,NA,acceptable,1947,240,NA,NA,NA,240,NA,Phycis_blennoides
Phylidonyris niger,Chordata,Aves,Passeriformes,Meliphagidae,Phylidonyris,White-cheeked honeyeater,NA,NA,NA,NA,NA,NA,11.6,139.2,NA,NA,acceptable,NA,NA,18.5,NA,0.8288,139.2,NA,Phylidonyris_niger
