phylum,class,order,family,genus,species,specificEpithet,sex,sampleSizeValue,body mass,body mass_minimum,body mass_maximum,metabolic rate,metabolic rate_minimum,metabolic rate_maximum,original respiratoryQuotient,original temperature,mass-specific metabolic rate,brain size
Chordata,Aves,Accipitriformes,Accipitridae,Aquila,Aquila audax,audax,,1,3.814,,,,,,,,,0.01682464
Chordata,Aves,Accipitriformes,Accipitridae,Hieraaetus,Hieraaetus morphnoides,morphnoides,,1,0.815,,,,,,,,,0.00809116
Chordata,Aves,Falconiformes,Falconidae,Falco,Falco cenchroides,cenchroides,,1,0.185,,,,,,,,,0.00324268
Chordata,Aves,Falconiformes,Falconidae,Falco,Falco berigora,berigora,,1,0.5475,,,,,,,,,0.00646464
Chordata,Aves,Falconiformes,Falconidae,Falco,Falco longipennis,longipennis,,1,0.2485,,,,,,,,,0.0034706
Chordata,Aves,Falconiformes,Falconidae,Falco,Falco subniger,subniger,,1,0.765,,,,,,,,,0.006734
Chordata,Aves,Falconiformes,Falconidae,Falco,Falco peregrinus,peregrinus,,1,0.715,,,,,,,,,0.00641284
Chordata,Aves,Gruiformes,Gruidae,Grus,Grus antigone,antigone,,1,5.75,,,,,,,,,0.02078216
Chordata,Aves,Gruiformes,Gruidae,Grus,Grus rubicunda,rubicunda,,1,6.2,,,,,,,,,0.01832684
Chordata,Aves,Gruiformes,Rallidae,Porphyrio,Porphyrio porphyrio,porphyrio,,1,0.9945,,,,,,,,,0.0048692
Chordata,Aves,Gruiformes,Rallidae,Lewinia,Lewinia pectoralis,pectoralis,,1,0.0875,,,,,,,,,0.00138824
Chordata,Aves,Gruiformes,Rallidae,Gallirallus,Gallirallus philippensis,philippensis,,1,0.1815,,,,,,,,,0.00204092
Chordata,Aves,Gruiformes,Rallidae,Porzana,Porzana pusilla,pusilla,,1,0.037,,,,,,,,,0.000777
Chordata,Aves,Gruiformes,Rallidae,Porzana,Porzana fluminea,fluminea,,1,0.06,,,,,,,,,0.00106708
Chordata,Aves,Gruiformes,Rallidae,Amaurornis,Amaurornis moluccana,moluccana,,1,0.1685,,,,,,,,,0.00220668
Chordata,Aves,Gruiformes,Rallidae,Tribonyx,Tribonyx ventralis,ventralis,,1,0.39,,,,,,,,,0.00286972
Chordata,Aves,Gruiformes,Rallidae,Gallinula,Gallinula tenebrosa,tenebrosa,,1,0.528,,,,,,,,,0.00280756
Chordata,Aves,Gruiformes,Rallidae,Fulica,Fulica atra,atra,,1,0.568,,,,,,,,,0.0029526
Chordata,Aves,Otidiformes,Otididae,Ardeotis,Ardeotis australis,australis,,1,5.5,,,,,,,,,0.0120694
Chordata,Aves,Charadriiformes,Burhinidae,Burhinus,Burhinus grallarius,grallarius,,1,0.695,,,,,,,,,0.00446516
Chordata,Aves,Charadriiformes,Burhinidae,Esacus,Esacus magnirostris,magnirostris,,1,1,,,,,,,,,0.0055426
Chordata,Aves,Charadriiformes,Haematopodidae,Haematopus,Haematopus longirostris,longirostris,,1,0.596,,,,,,,,,0.004403
Chordata,Aves,Charadriiformes,Recurvirostridae,Recurvirostra,Recurvirostra novaehollandiae,novaehollandiae,,1,0.33,,,,,,,,,0.00206164
Chordata,Aves,Charadriiformes,Recurvirostridae,Cladorhynchus,Cladorhynchus leucocephalus,leucocephalus,,1,0.24,,,,,,,,,0.00166796
Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis fulva,fulva,,1,0.1475,,,,,,,,,0.00183372
Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis squatarola,squatarola,,1,0.25,,,,,,,,,0.00265216
Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius ruficapillus,ruficapillus,,1,0.0405,,,,,,,,,0.00084952
Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius bicinctus,bicinctus,,1,0.07,,,,,,,,,0.00114996
Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius mongolus,mongolus,,1,0.0635,,,,,,,,,0.00117068
Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius leschenaultii,leschenaultii,,1,0.0875,,,,,,,,,0.00130536
Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius australis,australis,,1,0.084,,,,,,,,,0.0011914
Chordata,Aves,Charadriiformes,Charadriidae,Elseyornis,Elseyornis melanops,melanops,,1,0.0325,,,,,,,,,0.00087024
Chordata,Aves,Charadriiformes,Charadriidae,Erythrogonys,Erythrogonys cinctus,cinctus,,1,0.0475,,,,,,,,,0.0010878
